full_text,Misoginy
"¿Algún día los organismos defensores de la mujer y los DDHH como el  y  se indignarán y condenarán las estupideces que le dicen a diario a  en las redes? ¿O solo se indignan cuando tocan a una feminazi o progre, como la calabaza del MEF? ",1
"Les vengo a arruinar más el día... lo siento 🤷🏻‍♂️🤢 
#Feminazis
#Preciosa
#Julissa
#Quito
#Ecuador ",1
 Uy una feminazi ser de Luz que está convencida que todo lo que dice es cierto. Que no acepta críticas pero se cree con todo el derecho de críticar. Estas mas cercana al movimiento Nazi tu que yo. Saludos.,1
" Otra feminazi. Creyendo que matando al mensajero arregla el problema. Lástima que el PUCP hicieron pésimo trabajo consigo. Todas tus apostillas tienes millones de apostillas más q las dejan sin piso. Ilústrate , luego critica.",1
"Aplaudo las luchas historicas de igualdad de genero por parte de mujeres heroicas, pero lo que no se debe aplaudir hoy dia es ese feminismo radical (feminazi) que esta contribuyendo al deterioro social ( la familia ). Y el estado es complice.",1
"   Es una feminazi , tanta bola que le dan a esa vieja y a todos se les olvida lo que ella piensa de este país antes de llegar a ese puesto... Mejor se fuera a otro país donde ella crea que si vale...",1
"""Dónde están las feminazis que no hacen un conversatorio de esto que mis pajafollowers y yo creemos que debería ser lo correcto""",1
"      Es la típica loca feminazi que tira piedras y después se victimiza, locas así son las que ridiculizan una causa justa, no se les puede pedir razonar. Mañana voy al mercado y me ofendo si alguna vendedora me dice venga bonito, coloradito, precioso 🤷‍♂️.",1
 Vaya a bailar su canción negativa obscena y resentida feminazi balurda,1
" Defender a mujeres de actos violentos, educar a la sociedad el respeto, no es motivo q les digan feminazis, pero cuando quieren abortar sin ser víctimas de una violación, sino por haber sido descuidados al haber tenido un acto sexual concentido... es correcto decirles feminazis",1
    Feminazi verdad??? 😂😂😂,1
"El único sentido que tendría el feminismo en la actualidad sería el de concientizar sobre el daño del machismo en nuestra sociedad, no solo a la mujer sino al mismo hombre.

Pero la feminazis, destruyeron cualquier posibilidad de razonar al respecto.",1
Ahi va de nuevo la intento fallido de feminazi. Oe cállenla pues 🤦‍♀️,1
" Esa me engañó por un rato. Creí que era normal, pero de repente sacó su verdadero yo feminazi e hice lo que siempre hago, ser coherente y usar la razón y eso las hace bloquearme porque no me pueden vender sus teorías.",1
 Una vergüenza que se avalen a las feminazis bailando flash mobs calatas en la calle,1
      nadie entiende a estas feminazis locas,1
 Y las feminazis acusarían a Mcmosca de machista opresor por haber dejado a la novia tirada durmiendo en una banca mientras se largaba con el Doc.,1
"   Miente, puro razonamiento de idiotas, existe claramente desde que se empieza a formar, es algo que se nota claramente #Feminazi",1
"Una feminazi ""peleando"" por sus izquierdos .....(a esto que ""ella"" hace no se le puede llamar ""derechos""!) ",1
 Falta ahora que las ofendidas feminazis le hagan al sumo supremo el bailecito ese de y la culpa no era mía ni donde estaba ni como vestía.,1
"                       Pobrecita esta ignorante al cuadrado. Para qué discutir con alguien que ni siquiera sabe escribir... no es crema ""innata"", sino ""crema Y NATA"", buuuuurra!!!
Eso sin contar las demás faltas ortográficas. Ni para qué gastar caracteres en ti, femiNazi tontita.",1
Asi fue como la niña se volvio feminazi ,1
"Quien tenga huevos, que ponga esta canción en la próxima ""performance"" feminazi. ",1
En todo el feminazi😅 ,1
" Si Madonna le pega un puñetazo a un hombre porque le jala el brazo esta bien porque es un acosador sexual. No importa cuando leas esto, siempre tendrás la culpa si eres hombre para los feminazi.",1
#Feminazi  en acción. ,1
"Ésto demuestra claramente que la ""feminazi"" es otra y si existen, acá está 👇🏽👇🏽👇🏽👇🏽 ",1
"Y las feminazis no dicen nada 🤔 
 ",1
 Si es que tiene un gran corazón! Pero no sigamos magnificando las cualidades de este hermoso ejemplar porque pueden venir a reclamar las feminazis de tuirer ache ene,1
Video gráfico de como se deben tratar a las feminazi violentistas #Peru #Chile #Argentina #FemiNazis ,1
#Feminazi en acción!! ,1
Desde que salio eso.. ninguna feminazi se ha manifestado.. hijepuctas!!! ,1
"Guisada tener una novia con pinta de niño paila, feminazi y que parece ñoca jajajajajajajajjaajjajaa",1
#JusticeForJohnnyDepp Hice un vídeo ridiculizando a las feminazis en repudio a la denuncia falsa de Amber Heard contra Johnny Depp ,1
  Dale un hijo a la feminazi ésta pues !!!!! Gallo....,1
"Vamos a dejar nuevamente a estar sometidos por una sociedad #matriarcal #feminazi y #castrante con la libertad de los #Hombres? 
Van a seguir considerándonos a todos #violadores, #asesinos, #maltratadires y siempre #sospechosos de acosarlas? ",1
Esto si va hacer una película desente no la versión forzada féminazi 😂😂😂 ,1
No sera por que debe pasar los 82 años Feminazi resentida. ,1
 Ojito llegan las feminazis,1
Acabo de pasar por una marcha feminazi y creo que el Rosario del pecho me vibraba como el medallón del brujo cuando tiene mounstros cerca,1
"       Mientras las feminazis se siguen drogando, yo sigo amando y admirando a las mujeres de verdad, las reales, las autenticas. Las heterosexuales bien plantadas y claras en la vida. Hombre y mujer unidos avanzan!!!",1
"El enano es ignorante y misógino.
Se lo cuento a las feminazis que militan para él.",1
De repente veo que valeria mazza es atacada por una horda de #Feminazis por que fue elegida para narrar un documental sobre la mujer por #natgeo..📺 #Jueves,1
"   Exacto, no tiene nada que ver lo académico, es totalmente absurdo y un abuso. Donde queda la libre expresión? Y las feminazis que vandalizan, ahí no dicen nada, que doble moral.",1
"¿Uds no se han fijado en algo?
-Para ser Feminazi hay qué ser FEA 

Cuál chicas del Chavismo #Júrenlo",1
"  No soporto las machorras. Mujeres frustradas que quieren ser hombres, se portan como ellos pero como no tienen los geniales que quieren pues los odian. Es así de simple y por eso todas son feminazis. Eso no tiene más historia.",1
 Que será el olor a feminazi 🤔 ,1
"El Hipopótamo es un animal peligroso y muy agresivo.
Casi como una feminazi ofendida con esta publicación.",1
            Me suena a drama digno de un #Oscar muy fingido y falso le salió “llanto” ... por eso es peligroso con estas leyes misandricas que las feminazis quieren imponer; solo con verlas será delito capital y maltrato visual 😒😒,1
"  Es feminazi?
No pierdas el tiempo, no razonan, son obtusas 👇 me bloquearon por pensar diferente, sólo buscan adeptos que piensen igual sino no eres bienvenido 😂 ",1
 Tenían que ser estas féminazis 😓🤦‍♂️🤦‍♂️🤦‍♂️,1
" Que sea tsundere,que sea exageradamente timida o estupida,que solo sirva para ser la pareja de un prota masculino,que nunca le reclamen por algo malo que ha hecho,que sea hipocrita,que nunca progrese,que sea feminazi y recalque todo el rato que es una chica y es mejor,etc",1
 Pero cuando alguien pone algo burlándose de las feminazis sales a llorar,1
No se dice feministas se dice Feminazis ,1
" Falta de respeto total para autoridades, compañeros, familares e invitados 

Feminazis = desubicadas",1
 Las feministas honorables y las admiro. De las que me hago la burla es de las feminazis!,1
"LLevando la ideología feminazi al extremo: los humanos somos fruto de violación, cualquier animal por lo mismo, los vegetales por de robo de polen, la miel fruto del robo anterior, la leche y huevos fruto de robos a su dueñ los pescados igual... mejor nos extinguimos😳😳",1
"La gran  encabeza la preferencia de los votantes. Esto tiene aterrorizados a caviares, comunistas, feminazis y activistas lgtb.
Sólo así se explica que desde su miseria moral y humana Adrianzen, Day y un tal Irribarren la insulten y difamen. ",1
Las feminazis dicen el estado violador pero piden más estado.. ,1
"Mujeres en Irak. Son violadas las venden como esclavas, las castigan si hacen algo mal, y las matan cuando no son vírgenes.
Pensar que acá se sienten oprimidas por una vocal. Háblame de opresión y patriarcado femiNazi.",1
"Hostia, no lo sabía. Que gustito me ha dado ver esto 😊😊😊. Un bloqueo de feminazi al día evita la avería. ",1
 El silencio cómplice de las feminazis.,1
"Las Feminazis (y el feminismo radical en general, y las “políticas de género”) son la principal causa de la violencia contra la mujer. Muy atrás vienen todas las demás.",1
"    Esas asquerosas feminazis de m...da, ya llegaron al Perú con esa asquerosa moda del pañuelo verde.",1
"Me estresa debatir con una Feminazi, ni saben bien cual es su lucha o que es lo que verdaderamente reclaman, lo único que tienen en común es el odio injustificado a los hombres, no tienen papás, tíos, primos o amigos acaso.",1
" Y si eres troll y quieres atacar al antifujimorismo será

- hasta los 25 flaca feminazi
- hasta los 40 feminazi a secas
- después de los 40 tia feminazi.",1
Luego se ofenden cuando se les dice feminazis 🤣🤣 ,1
"  Feminazi es peyorativo a las feministas modernas locas. Esa es la lógica o doctrina que manejan, a toda muerte de una mujer no le dicen feminicidio?",1
 Después no te estés quejando como  las feminazis!,1
Alguna feminazi te contó esto? ,1
Jajajs dedicado para las feminazis... ,1
"Estas no son feministas,estas son feminazis,hay una diferencia enorme entre ""feminista"" y ""feminazi"" ",1
"   No hay que ser tan estricta. Al hombre se le asocia con la fuerza y a la mujer con la disuacion y me gustan esos roles aunque a veces yo misma me he catalogado de hombre por mi caracter.
Tu comentario es el de una feminazi.",1
QUE DICEN AHORA LAS FEMINAZIS. QUE POR SER MUJER NO ES CORRUPTA?????   ,1
"Jajaja jajaja, no puede ser, ya manden alas feminazis a la guerra... ",1
 ahorita las feminazis lo culpan por matar a la hija... de seguro alegan que quien monta a una niña de 13 años en un helicóptero... eso va!,1
" Esta pregunta no es mas que otro atentado Feminazi"".",1
"Muy #Feminazi y todo pero en la noche la oyes pidiendole"" dame más duro papi"" a su opresor😂🤣",1
"La Cumbia Feminazi 
de Renee Goust
",1
 Feminazi horribles,1
"Mañana habrá un caso que alguien le diga preciosa a una tipa, literalmente bella y preciosa, ella se sienta alagada pero le pasa desapercibido al mismo tiempo, y una feminazi la vea y la insulte por ""dejarse acosar""",1
"  Le dicen "" #violenciamachista "" porque las ong feminazis tienen que asegurarse el dinero. No respetan nada. Es terrible",1
 Solamente los coritos feminazis huevones y pancartas de culicagados izquierdosos son los que te valen!,1
"  Opino y sin herir susceptibilidades, la protesta en contra a la violencia de las mujeres esta bien manifestarlo , dada las circunstancias en casos de feminicidios, en lo que no estoy de acuerdo, es en que lo hagan un movimiento feminazi, y que copien a otros países!!",1
" Para ser feminazi hay que ser horrorosa, no he visto ningún caso q vaya contra esa norma. Son un colectivo de frigidas urgidas de interacción Heterosexual. Es un tema de desbalance hormonal más que ideológico.",1
"  Otra troll pro género y feminazi, a silenciar a la femitroll.",1
" Chau gays, lesbianas, aborteras, feminazis. Frepap y Upp erradicarán esos grupos rainbow 🌈.",1
" Esas serán las feminazis, pero esta cuenta es de sarcasmo contra el feminismo, socialismo, lenguaje inclusivo y demás hierbas actuales. Por eso el nombre Dafne Huilca, hoz y martillo, ubicación URSS y tuits. 😄
",1
La feminazi mon la peste no es capaz de pagarle gastos médicos a su madre a pesar dw ganar muy bien . ,1
 Y no viste como les dí como bombo en fiesta a las feminazis 😂🤣😂🤣,1
  Los colectivos feminazis estarían haciendo marchas,1
"Hoy amanecí con ganas de patear a una feminazi, si alguien conoce a alguna en Zacatlán páseme el dato que ya se la cargo su puta madre.",1
Acá está la feminazi con pelos cagandose d calor😞😞😞😞 ,1
  buscando a las feminazis en sus guaridas. ,1
"Pum perras #Feministas #Feminazi 

Un poco de broma, no lo tomen en serio y no ataquen HDSPM ",1
"   Lo que sale al aire es el engaño, el descaro, el caradurismo de un vago mantenido, un admirador de terrucos y un banda de feminazis y trolls de género.
A no dejarse engañar por estos vendedores de sebo de culebra, a decirle no al partido morado, por embaucadores.",1
Que alguien le envíe esto a las FemiNazi ,1
Ya saben entonces de donde las locas féminazis acá en Ecuador sacaron su odio hacia un equipo de fútbol. Todo lo hacen por moda SIN ARGUMENTOS grupo minúsculo que destila odio hacia todo grupo social. ,1
Feminazis: Ahí tienen tela para cortar... ,1
  Ahora le molesta que la chica preste su culo? Se volvió feminazi? Hay que cambiarle la dieta urgente. #HaganAlgo,1
  Es que realmente la situación no daba para armar tanto show! Lo que quieren es llamar la atención de su movimiento feminazi,1
" La “ministra”, si no lo escribes bien te van a caer encima las feminazis.",1
 Ahí se convierte en la feminazi más letal del mercado boyacense.,1
"Por lo qué se ve son puras mujeres....
#feministas #Feminazis 

Así piden respeto? Derechos? 

Faltando el respeto y violando derechos de los demás ... Bravo ",1
  Es acoso por qué no le conoces y si le dices preciosa o hermosa es un delito .... así dirían ciertos cojudos o cojudas feminazis correasis  🤣,1
esa feminazis son violentas jajajajajajaajaj,1
        ESO DEBEN PREOCUPARSE NO DE DARLE OIDO A UNA FACISTA FEMINAZI DE SU CIRCULO DE AMISTADES,1
    Es un derecho feminazi,1
"¡El violador eres tú!

¡La feminazi soy yo!

🎶🎵🎶",1
     La pregunta es ¿Por qué os fastidia tanto que se difundan los audios? ¿No será porque desmonta todo vuestro chiringuito feminazi de creer a la mujer porque sí aunque mienta y condenar a inocentes?,1
"Pregunta sería que será más incongruente, una feminazi ardida o la santa biblia ?",1
"No hay manera de recuperarse de eso ... imposible, su único destino posible es ser feminazi ",1
" Éstas retardadas saben que en Navidad se festeja un nacimiento?? Y encima de un Hombre??
Siempre tan coherentes las feminazis...",1
"  Las feas feminazi, delci y la iris Pram",1
"De ripley!! PREMIAN a Mon Laferte por mostrar las TETAS MINTIENDO al mundo q en Chile los carabineros torturan,matan y violan,los carabineros presentarán cargos en su contra por difamación,calumnia(por decir que los Militares y carabineros incendiaron el metro)REPULSIVA FEMINAZI. ",1
" Argentina esta contratando feminazis
hablan cualquier mierda sin sentido solo tienen en cuenta que la mujer es igual que el hombre, no corrijo se creen más que el hombre; y luego andan cantando y la culpa no era mía y no se que mas monda. :D",1
"Eso fue muy sonado, lo bien roja y feminazi también son características de ella. #AbreLosOjos ",1
" 😂😂😂😂😂😂😂😂😂🤣🤣🤣🤣🤣🤣🤣
Las feminazis ven esto y explotan.",1
Hay una jeva intensa de venezuela que es feminazi a morir y ver que la hicieron famosa me hace pensar que no servimos como población,1
"   Entonces el plan era dejar que el Coronavirus campara a sus anchas entre manifestantes gritando consignas y esparciendo gotitas llenas de razón feminazi?? 
😏 jugada maestra",1
"Andale, tu si sabes...  Acá en Monterrey anda cada tipa que se cree influencer aprobando el desmadre que hacen las feminazis en las marchas. Si tanto coraje tienen vayan ala casa de los jueces que liberan a tanto HDP violador, asesino y golpeador y hagan sus desmadrito allí... ",1
 Cada día están más trastornadas estas feminazis mae.,1
" Son tan feminazis que creen que solo un grupo de mujeres puede defender a todas las mujeres. 

Igualdad es que el hombres y la mujer puedan defender a los hombres y a las mujeres, de feminista tienes poco pero de totalitaria tienes de sobra.",1
 Y ahora que dirán las féminazis se quedaron sin caballito de batalla!!!,1
"Que sea por meritocracia. No por tener un sexo u otro. 
#Feministas #Feminazi ",1
  Ahora los putitos sales en bola como las feminazis,1
Lo unico peor que una feminazi es otra feminazi progre y guatona.,1
"  Serían más sinceras si usaran un pañuelo que las identifique como lesbianas. Y no estaría mal, si al fin y al cabo eso es lo que son. Al ser lesbianas, no les gustan los hombres, también es entendible. Pero que ODIEN a los hombres ya las convierte en FEMINAZIS.",1
"  No sé, feminazi de dbs más claro.",1
